task_id,condition,round_num,fingerprint_distance,af_class,wall_time_s,timestamp
HumanEval/0,C,1,1.000000,correct,2850.88,2026-04-24T20:26:22.906448+00:00
HumanEval/0,C,2,1.000000,correct,2850.88,2026-04-24T20:26:22.906448+00:00
HumanEval/0,C,3,1.000000,correct,2850.88,2026-04-24T20:26:22.906448+00:00
HumanEval/0,C,4,1.000000,correct,2850.88,2026-04-24T20:26:22.906448+00:00
HumanEval/0,C,FINAL,,correct,2850.88,2026-04-24T20:26:22.906448+00:00
HumanEval/1,C,1,1.000000,correct,1006.21,2026-04-24T20:43:09.137778+00:00
HumanEval/1,C,2,1.000000,correct,1006.21,2026-04-24T20:43:09.137778+00:00
HumanEval/1,C,3,1.000000,correct,1006.21,2026-04-24T20:43:09.137778+00:00
HumanEval/1,C,FINAL,,correct,1006.21,2026-04-24T20:43:09.137778+00:00
HumanEval/2,C,1,1.000000,correct,1656.57,2026-04-24T21:10:45.716388+00:00
HumanEval/2,C,2,1.000000,correct,1656.57,2026-04-24T21:10:45.716388+00:00
HumanEval/2,C,3,1.000000,correct,1656.57,2026-04-24T21:10:45.716388+00:00
HumanEval/2,C,FINAL,,correct,1656.57,2026-04-24T21:10:45.716388+00:00
HumanEval/3,C,1,0.000000,correct,671.53,2026-04-24T21:21:57.256661+00:00
HumanEval/3,C,2,1.000000,correct,671.53,2026-04-24T21:21:57.256661+00:00
HumanEval/3,C,3,0.623650,correct,671.53,2026-04-24T21:21:57.256661+00:00
HumanEval/3,C,4,1.000000,correct,671.53,2026-04-24T21:21:57.256661+00:00
HumanEval/3,C,FINAL,,correct,671.53,2026-04-24T21:21:57.256661+00:00
HumanEval/4,C,FINAL,ERROR,ERROR,3196.49,2026-04-24T22:15:13.759057+00:00
HumanEval/5,C,FINAL,ERROR,ERROR,2579.91,2026-04-24T22:58:13.672994+00:00
HumanEval/6,C,FINAL,ERROR,ERROR,3026.94,2026-04-24T23:48:40.614057+00:00
HumanEval/7,C,1,0.000000,correct,1371.22,2026-04-25T00:11:31.848917+00:00
HumanEval/7,C,2,0.690888,correct,1371.22,2026-04-25T00:11:31.848917+00:00
HumanEval/7,C,3,1.000000,correct,1371.22,2026-04-25T00:11:31.848917+00:00
HumanEval/7,C,FINAL,,correct,1371.22,2026-04-25T00:11:31.848917+00:00
HumanEval/8,C,1,1.000000,correct,1933.92,2026-04-25T00:43:45.786040+00:00
HumanEval/8,C,2,1.000000,correct,1933.92,2026-04-25T00:43:45.786040+00:00
HumanEval/8,C,3,1.000000,correct,1933.92,2026-04-25T00:43:45.786040+00:00
HumanEval/8,C,4,1.000000,correct,1933.92,2026-04-25T00:43:45.786040+00:00
HumanEval/8,C,FINAL,,correct,1933.92,2026-04-25T00:43:45.786040+00:00
HumanEval/9,C,1,1.000000,correct,814.16,2026-04-25T00:57:20.044071+00:00
HumanEval/9,C,2,1.000000,correct,814.16,2026-04-25T00:57:20.044071+00:00
HumanEval/9,C,3,1.000000,correct,814.16,2026-04-25T00:57:20.044071+00:00
HumanEval/9,C,FINAL,,correct,814.16,2026-04-25T00:57:20.044071+00:00
